file,mb,sha256_16,topic,include,note,source_url,download_url,authors,year,edition,availability,accessed_at,sha256,publisher,language
Adler S. - Day Trading with ChatGPT - Test the Power of AI for Stock Market (2023).pdf,0.47,e24bc4c408fd1557,offtopic,no,fuera de tema (trading/DeFi) — no macro,,,,,,,,,,
"Banerjee A., Duflo E. - Good Economics for Hard Times (2019).pdf",4.92,948c4c2f3a3e00d2,core,si,,,,,,,,,,,
"Bashir I. - Mastering Blockchain, 4th ed - DeFi and NFTs Reference Guide (2023).pdf",21.52,eaab5284cca18be1,offtopic,no,fuera de tema (trading/DeFi) — no macro,,,,,,,,,,
Brouwer M. - Governmental Forms and Economic Development (2011).pdf,2.58,7fa670281a1cd7ea,development,si,,,,,,,,,,,
CORE Team - The Economy - Economics for a Changing World (2021).pdf,72.7,0dc933493bf7bc98,core,si,,,,,,,,,,,
Case K. - Principles of Microeconomics (12th ed) (2017).pdf,28.87,2052b9e2d8737eec,core,no,edición redundante — se indexa la 13ª,,,,,,,,,,
"Case K., Fair R., Oster S. - Principles of Microeconomics (13th ed) (2019).pdf",162.64,748241c4604e7516,core,si,,,,,,,,,,,
"Chan E. - Hands-On AI Trading with Python, QuantConnect, and AWS (2023).pdf",28.21,bfae9cafd16b879e,offtopic,no,fuera de tema (trading/DeFi) — no macro,,,,,,,,,,
"Damsker A. - Understanding DeFi - Roles, Tools, Risks, and Rewards (2024).pdf",3.4,c7ea0cd6c8e380a1,offtopic,no,fuera de tema (trading/DeFi) — no macro,,,,,,,,,,
"Di Maggio M. - Blockchain, Crypto and DeFi - Bridging Finance and Technology (2025).pdf",88.74,90576920b4d6a026,offtopic,no,fuera de tema (trading/DeFi) — no macro,,,,,,,,,,
Everett H. - Recursive Games (1957).pdf,2.46,bf09912750e252da,offtopic,no,fuera de tema (trading/DeFi) — no macro,,,,,,,,,,
Guevara J. - Algorithmic Trading via AI-Machine Learning with R (2026).pdf,21.12,e2f4458371442342,offtopic,no,fuera de tema (trading/DeFi) — no macro,,,,,,,,,,
"Horne I. - Why DeFi Matters - What Cryptoassets, Web3 Really Mean for Finance (2023).pdf",14.08,58ecb4b471a2bf68,offtopic,no,fuera de tema (trading/DeFi) — no macro,,,,,,,,,,
Jesse H. - Generative AI for Trading and Asset Management (2025).pdf,13.15,31c5744150da77f6,offtopic,no,fuera de tema (trading/DeFi) — no macro,,,,,,,,,,
Kakkar A. - Trading Decoded - AI Applications In Finance (2020).pdf,2.9,d11bc56e48b1b9d2,offtopic,no,fuera de tema (trading/finanzas) — no macro,,,,,,,,,,
Kim S. - DeFi For Dummies (2022).pdf,27.47,7b66324781c1b0f5,offtopic,no,fuera de tema (trading/DeFi) — no macro,,,,,,,,,,
Laudal T. - A New Approach to the Economics of Public Goods.pdf,1.08,b01c5c9711cc9a38,development,si,,,,,,,,,,,
Leahy E. - AI-Powered Bitcoin Trading - Developing an Investment Strategy (2024).pdf,11.28,fc3a195d949be784,offtopic,no,fuera de tema (trading/DeFi) — no macro,,,,,,,,,,
Mankiw G. - Brief Principles of Macroeconomics (9th ed) (2020).pdf,16.21,ff812fa89c02217f,core,no,edición redundante — se indexa solo la 9ª,,,,,,,,,,
Mankiw G. - Essentials of Economics (10th ed) (2023).pdf,43.62,e21a998a505670df,core,no,edición redundante — se indexa solo la 9ª,,,,,,,,,,
Mankiw G. - Principles of Economics (8th ed) (2017).pdf,28.17,539021543c89f65c,core,no,edición redundante — se indexa solo la 9ª,,,,,,,,,,
Mankiw G. - Principles of Economics (9th ed) (2020).pdf,23.56,d250499ce3ee74a7,core,si,,,,,,,,,,,
Mankiw G. - Principles of Macroeconomics (8th ed) (2018).pdf,23.16,e3e6332eab356e93,core,no,edición redundante — se indexa solo la 9ª,,,,,,,,,,
Mankiw G. - Principles of Microeconomics (8th ed) (2018).pdf,19.39,7e60e1c5459447b0,core,no,edición redundante — se indexa solo la 9ª,,,,,,,,,,
Mankiw G. - Principles of Microeconomics (9th ed) (2021).pdf,19.58,642deac26eaf2d16,core,no,edición redundante — se indexa solo la 9ª,,,,,,,,,,
